ABBR,TERM
GXH,Gannan Xiahe Airport,
GOS,Gosford,
YVQ,Norman Wells,
GUU,Grundarfjordur,
BDK,Bondoukou,
FXO,Cuamba,
GLZ,Gilze-Rijen,
GMA,Gemena,
GMB,Gambela Airport,
GMC,Guerima,
GMD,Ben Slimane,
GME,Gomel Airport,
TLW,Talasea,
GMM,Gamboma,
GMN,Greymouth,
GMO,Gombe Lawanti International Airport,
GMP,Gimpo International Airport,
GMQ,Golog Maqin Airport,
GMS,Guimaraes,
GMU,Greenville Downtown,
GMZ,La Gomera Airport,
GNA,Grodno Airport,
GNB,Grenoble-Isere Airport,
GND,Maurice Bishop International Airport,
YWJ,Deline,
GNF,Gansner Field,
GNG,Gooding,
GNI,Green Island,
GNM,Guanambi,
GNN,Ghinnir,
GNR,General Roca,
YGX,Gillam,
HAD,Halmstad Airport,
YVP,Kuujjuaq Airport,
XLB,Lac Brochet,
HCA,Howard County,
HCC,Columbia County,
HCJ,Hechi Jinchengjiang Airport,
HCM,Eil,
BAP,Baibara,
CNZ,Cangamba,
YRN,Rivers Inlet,
YRS,Red Sucker Lake,
GAE,Gabès Matmata International Airport,
GEC,Gecitkale,
GIM,Miele Mimbale,
GJR,Gjogur,
GNT,Milan,
GNV,Gainesville Regional Airport,
GNZ,Ghanzi,
GOA,Genoa Cristoforo Colombo Airport,
GOB,Goba,
GOG,Gobabis,
GOH,Nuuk Airport,
GOI,Dabolim Airport,
GOJ,Nizhny Novgorod International Airport,
GOK,Guthrie,
GOL,State,
GOM,Goma Airport,
GUT,Guetersloh,
TWE,Taylor,
GCJ,Grand Central,
GON,New London,
GOO,Goondiwindi,
GOP,Gorakhpur Airport,
GOQ,Golmud Airport,
GOR,Gore,
GOU,Garoua Airport,
GOZ,Gorna Oriahovitsa,
GPA,Araxos Airport,
GPB,Tancredo Thomaz Faria,
GPL,Guapiles,
GPN,Garden Point,
GPO,General Pico,
GPS,Baltra Airport,
GPT,Gulfport-Biloxi International Airport,
GPZ,Grand Rapids,
GQQ,Galion,
YTE,Cape Dorset,
KOF,Komatipoort,
GYI,Gisenyi,
HHI,Wheeler AFB,
KFA,Kiffa,
HHN,Frankfurt - Hahn Airport,
AWE,Alowe,
GRA,Gamarra,
GRB,Austin Straubel International Airport,
GRD,Greenwood,
GRE,Municipal,
GRF,Gray AAF,
GRG,Gardez,
GRI,Grand Island Airport,
GRJ,George Airport,
GRK,Robert Gray Army Airfield,
GRM,Devils Track,
GRN,Gordon,
GRO,Girona-Costa Brava Airport,
GRQ,Eelde Airport,
GRR,Gerald R. Ford International Airport,
GRS,Baccarini,
KBF,Karubaga,
WKK,Aleknagik,
HKS,Hawkins Field,
AUJ,Ambunti,
KRI,Kikori,
KNP,Capanda,
GRT,Gujrat,
GRU,Sao Paulo-Guarulhos International Airport,
KGB,Konge,
YMA,Mayo,
GRV,Groznyy Airport,
KSB,Kasanombe,
YHN,Hornepayne,
GRW,Graciosa Island Airport,
GRX,Granada Airport,
GRY,Grimsey,
GRZ,Graz Airport,
GSA,Long Pasia,
GSB,Seymour Johnson AFB,
GSE,Gothenburg City Airport,
GSH,Goshen,
GSQ,Shark Elowainat,
GSR,Gardo,
GSY,Binbrook,
GTC,Green Turtle,
KLP,Kelp Bay,
YCA,Courtenay,
GTF,Great Falls International Airport,
KOZ,Ouzinkie SPB,
LAB,Lablab,
KYX,Yalumet,
BAW,Biawonque,
HNI,Heiweni,
YGB,Gillies Bay,
GTG,Municipal,
GTI,Guettin,
YHH,Harbor SPB,
GTK,Sungei Tekai,
YHG,Charlottetown,
GTO,Tolotio Airport,
GUL,Goulburn,
GUM,A.B. Won Pat International Airport,
GUO,Gualaco,
GUP,Senator Clark,
GUS,Grissom AFB,
GUW,Atyrau Airport,
GUX,Guna,
GUY,Guymon,
GUZ,Guarapari,
GVA,Geneve Airport,
GVE,Municipal,
GVL,Lee Gilmer Memorial,
GVN,May-Gatka,
GVR,Governador Valadares Airport,
GVT,Majors Field,
GVW,Richards-Gebaur,
GVX,Sandviken,
HOR,Horta Airport,
HOS,Oscar Reguera,
HOT,Memorial Field,
HOV,Hovden Airport,
HOX,Homalin Airport,
MUF,Muting,
RUF,Yuruf,
RAQ,Sugimanuru,
LIQ,Lisala,
BBT,Berberati,
BPF,Batuna Aerodrome,
FDU,Bandundu,
FNE,Fane,
FYT,Faya,
GWE,Gweru,
GXQ,Ten. Vidal,
GXX,Yagoua,
GXY,Weld County,
GYA,Guayaramerin Airport,
GYD,Heydar Aliyev International Airport,
GYE,Jose Joaquin de Olmedo Airport,
GYG,Magan Airport,
GYM,Gen Jose M Yanez,
GYN,Santa Genoveva Airport,
GYP,Gympie,
GYR,Litchfield,
GYS,Guang Yuan Airport,
GYU,Guyuan Liupanshan Airport,
GYY,Gary/Chicago International,
GZA,Gaza - Yaser Arafat International Airport,
GZG,Garze Gesar Airport,
GZI,Ghazni,
GZM,Gozo Heliport,
HDB,Airfield Heidelberg,
FAK,False Island,
HRJ,Chaurjhari,
FOM,Foumban,
FRQ,Feramin,
GAX,Gamba,
AHW,Saih Rawl,
BKR,Bokoro,
BMW,Bordj Badji Mokhtar,
BNQ,Baganga,
BNR,Banfora,
BNV,Boana,
BOP,Bouar,
BTG,Batangafo,
BZB,Bazaruto Island,
HRK,Kharkov Airport,
HRL,Valley International Airport,
GBF,Negarbo,
GDI,Gordil,
GZO,Gizo Airport,
GZW,Ghazvin,
HAA,Hasvik Airport,
HAB,Marion County,
HAF,Half Moon,
HOQ,Hof,
HTG,Hatanga Airport,
HTH,Hawthorne,
HTL,Roscommon County,
HTM,Khatgal,
HTN,Hotan Airport,
HTO,East Hampton,
HTS,Tri-State/Milton Airport,
HTT,Huatugou Airport,
AFD,Port Alfred,
AGD,Anggi,
AII,Alisabieh,
BTB,Betou,
CDO,Cradock,
CEX,Chena Hot Springs,
ELR,Elelim,
EMG,Empangeni,
GXG,Negage,
HAI,Dr Haines,
YNM,Matagami,
HTV,Huntsville,
HAJ,Hannover Airport,
HAM,Hamburg Airport,
HAN,Noi Bai International Airport,
DST,Dubai Seaplane Terminal,
GCT,Grand Canyon Bar 10 Airport,
RPU,San Fernando Airport,
BZX,Bazhong Enyang Airport,
CFM,Conklin (Leismer) Airport,
DBC,Baicheng Chang'an,
AAD,Adado,
ADV,El Daein,
AEQ,Ar Horqin Airport,
AHJ,Hongyuan Airport,
GGB,Água Boa,
AXF,Alxa Left Banner,
GGF,Almeirim,
GGH,Gastão Mesquita Airport,
HAO,Hamilton,
AYM,Yas Island SPB,
HAR,Capital City,
DHG,Dalnegorks,
BKV,Bailing Airport,
HAS,Hail Airport,
BVJ,Bovanenkovo Airport,
HAU,Haugesund Airport,
HAV,Jose Marti International Airport,
HAW,Haverfordwest,
DJH,Jebel Ali Seaplane Base,
KFM,Kirby Lake Aerodrome,
JWO,Jungwon Air Base,
HAY,Haycock,
HAZ,Hatzfeldthaven,
HBA,Hobart International Airport,
HBD,Habi,
HBE,Borg El Arab Airport,
DBK,Dutch Bay SPB Seaplane Base,
HWD,Hayward Executive Airport,
HWN,Hwange Nat Park,
HWO,North Perry,
KQR,Karara Airport,
DEQ,Deqing Moganshan Airport,
DWO,Diyawanna Oya Seaplane Base,
GEM,President Obiang Nguema International Airport,
GGJ,Guaíra Airport,
GHK,Gahcho Kue Aerodrome,
GYZ,Gruyere Mine Airport,
HBG,The Hattiesburg-Bobby L. Chain Mun.,
HBI,Harbour Island,
HBK,Holbrook Municipal,
HBN,Flamingo,
HBO,Municipal,
HBR,Hobart,
HBU,Bulgan Hovd,
HBX,Hubli Airport,
HCW,Cheraw,
HDD,Hyderabad,
HDE,Brewster Field,
HDF,Heringsdorf Airport,
HDG,Handan Airport,
HDH,Dillingham Airfield,
HXD,Delingha Airport,
NQZ,Nursultan Nazarbayev International Airport,
HZL,Hazleton,
PFM,Primrose Aerodrome,
OJU,Tanjung Api Airport,
DFA,Danfeng Airport,
GXA,Beringin Airport,
HBQ,Qilian Airport,
HDK,Kulhudhuffushi Airport,
HDM,Hamadan Airport,
HDR,Havadarya,
HDS,Hoedspruit Airport,
HEB,Henzada,
HEE,Thompson-Robbins,
HEI,Heide-Buesum,
HEM,Helsinki-malmi,
HEN,Hendon,
HEO,Haelogo,
HES,State,
HET,Hohhot Baita International Airport,
HEV,Huelva,
HEW,Hengdian Airport,
HEY,Hanchey Army Heliport,
HEZ,Hardy-Anders,
HFA,Haifa Airport,
HFD,Brainard,
HFF,Mackall AAF,
HFN,Hornafjordur,
HFS,Hagfors Airport,
HFT,Hammerfest Airport,
HGE,Higuerote Airport,
HGI,Higlieg,
HGL,Helgoland,
MCJ,Maicao,
DEX,Nop Goliat Airport,
NIU,Niau,
ORV,Robert (Bob) Curtis Memorial Airport,
EUE,Eureka,
HID,Horn Island Airport,
WOG,Woodgreen Airport,
HIG,Highbury,
FID,Elizabeth Field,
JOP,Josephstaal,
KXU,Katiu,
GHS,Melak Airport,
GSM,Dayrestan Airport,
AMK,Animas Airpark,
BDX,Broadus,
BER,Berlin Brandenburg Airport,
BHX,Birmingham International Airport,
CQW,CHERAW MUNI/LYNCH BELLINGER FLD AIRPORT,
GYB,Wodgina Airport,
HCQ,Halls Creek,
HGD,Hughenden,
HGN,Mae Hong Son Airport,
HGO,Korhogo Airport,
HGR,Wash. County Regional Airport,
HGS,Hastings,
HGU,Mount Hagen Airport,
HGZ,Hogatza,
HIP,Headingly,
HRY,Henbury,
MCT,Muscat International Airport,
LTW,St Marys County,
PCT,Princeton,
ROF,Yreka Rohrer Field,
AHD,Downtown,
AHF,Municipal,
ATE,Antlers,
BLD,Boulder City,
CHZ,State,
CIL,Melsing Creek,
CKE,Clear Lake,
CNE,Canon City,
COP,Cooperstown - Westville Airport,
JVI,Central Jersey Regional Airport,
CTK,Canton,
CTO,Peconic River,
HHE,Hachinohe,
HHH,Hilton Head Airport,
HHQ,Hua Hin Airport,
HHR,Hawthorne,
HIA,Huai'an Lianshui Airport,
HIB,Chisholm Airport,
HIE,Regional,
HIF,Hill AFB,
HII,Municipal,
HIJ,Hiroshima Airport,
HIK,Hickam AFB,
HIL,Shillavo,
HIM,Hingurakgoda,
HIN,Sacheon Airport,
HIO,Portland,
HIR,Honiara International Airport,
HIW,Hiroshima West,
HJJ,Zhijiang Airport,
BXP,Biala Podlaska,
HJR,Khajuraho Airport,
HKA,Municipal,
AAF,Apalachicola Regional,
HKB,Healy Lake,
HKD,Hakodate Airport,
ABE,Lehigh Valley International Airport,
HKG,Hong Kong International Airport,
HKN,Hoskins Airport,
ABI,Abilene Regional Airport,
HKR,Mara North Airstrip,
HKV,Haskovo,
ABQ,Albuquerque International Sunport,
HKY,Hickory,
HLA,Lanseria International Airport,
HLB,Hillenbrand,
HLC,Hill City,
HLD,Hulunbuir Hailar Airport,
HLE,Saint Helena Airport,
ABR,Aberdeen Municipal Airport,
HLF,Hultsfred - Vimmerby,
HLG,Ohio County,
ABY,Southwest Georgia Regional Airport,
ACB,Antrim County,
ACK,Nantucket Memorial Airport,
HLH,Ulanhot Airport,
YOW,Ottawa/Macdonald-Cartier International Airport,
ACT,Waco Municipal Airport,
ACV,Arcata-Eureka Airport,
ACY,Atlantic City International Airport,
ADG,Lenawee County,
ADM,Ardmore Municipal Airport,
ADS,Addison Airport,
ADT,Ada Municipal,
KAE,SPB,
HLI,Hollister,
ADW,Andrews AFB,
KAF,Karato,
AEE,Adareil Airport,
HLM,Park Township,
AEL,Albert Lea,
IDG,Municipal,
HLN,Helena Regional Airport,
AEX,Alexandria International Airport,
AFF,USAF Academy Airstrip,
SXZ,Siirt Airport,
AFN,Municipal,
AFO,Municipal,
AFW,Fort Worth Alliance Airport,
AGC,Allegheny County Airport,
AGO,Municipal,
KAK,Kar,
AGS,Augusta Regional Airport,
AHC,Amedee AAF,
NML,Mildred Lake,
AHH,Municipal,
AHN,Athens-Ben Epps,
AIA,Alliance Airport,
AID,Municipal,
AIK,Municipal,
TBU,Fua'amotu International Airport,
AIO,Municipal,
AIV,George Downer,
AIZ,Lee C Fine Memorial,
AKC,Fulton International,
AKO,Colorado Plains Regional Airport,
ALB,Albany International Airport,
TDJ,Tadjoura,
TDV,Tanandava,
ALI,International,
TDX,Trat Airport,
GCD,Grand Coulee Dam,
HLP,Halim Perdanakusuma Airport,
HLR,Fort Hood AAF,
HLS,St Helens,
HLU,Houailou,
HLV,Helenvale,
HLY,Anglesey Airport,
HLZ,Hamilton International Airport,
HMA,Khanty-Mansiysk Airport,
HMB,Mubarak International Airport,
HME,Oued Irara Airport,
HMI,Hami Airport,
HMJ,Khmelnitskiy,
HMN,Holloman AFB,
HMO,Gen Pesqueira Garcia Airport,
HMR,Hamar Airport,
HMS,Homeshore,
HMT,Ryan Field,
HMV,Hemavan Airport,
IDP,Independence,
IDR,Devi Ahilya Bai Holkar Airport,
AXB,Alexandria Bay,
HMY,Seosan Airport,
HNA,Hanamaki Airport,
HNB,Municipal,
HNC,Hatteras,
HND,Haneda Airport,
HNE,Tahneta Pass,
HNG,Hienghene,
HNL,Honolulu International Airport,
HNM,Hana Airport,
HNN,Honinabi,
HNY,Hengyang Nanyue Airport,
HOA,Hola,
HOB,Lea County Airport,
HOC,Komako,
HOD,Hodeidah Airport,
HOF,Al-Ahsa Airport,
HOG,Frank Pais Airport,
HOK,Hooker Creek,
HOL,Holikachu,
IHA,Niihama,
HON,Howes,
HOO,Nhon Co,
HOP,Campbell AAF,
HOW,Howard AFB,
HOY,Hoy Island,
HPA,Salote Pilolevu,
HPE,Hope Vale,
HPG,Shennongjia Hongping Airport,
HPH,Cat Bi International Airport,
HPN,Westchester County Airport,
HPT,Municipal,
HPV,Princeville,
HPY,Baytown Airport,
HQM,Bowerman,
HRA,Mansehra,
HRC,Zhairem,
HRE,Harare International Airport,
HRF,Hoarafushi Airport,
HRG,Hurghada International Airport,
HRM,Tilrempt,
HRN,Heliport,
HRO,Boone County Airport,
IJK,Izhevsk Airport,
HRS,Harrismith Airport,
HRT,Linton-On-Ouse,
HRZ,Horizontina,
HSA,Hazret Sultan International Airport,
HSB,Raleigh,
HSG,Saga Airport,
HSH,Henderson Executive,
HSI,Hastings,
HSJ,Shangjie Airport,
HSK,Huesca-Pirineos,
HSM,Horsham,
HSN,Putuoshan Airport,
HSP,Ingalls Field,
HSS,Hissar,
HST,AFB,
HSV,Huntsville International Airport,
HSZ,Hsinchu,
HTA,Chita Airport,
HTB,Terre-de-Bas,
HTU,Hopetoun,
HTY,Hatay Airport,
HTZ,Hato Corozal,
HUA,Redstone AAF,
HUB,Humbert River,
HUC,Humacao Airport,
HUD,Humboldt,
HUE,Humera Airport,
HUF,Hulman Field,
HUG,Huehuetenango,
HUH,Huahine Airport,
HUI,Phu Bai International Airport,
HUJ,Hugo,
HUK,Hukuntsi,
HUL,International,
HUM,Terrebonne,
HUO,Holingol Huolinhe Airport,
TEC,Telemaco Borba,
HUQ,Houn,
HUT,Hutchinson,
HUU,Huanuco Airport,
HUV,Hudiksvall,
HUX,Huatulco Airport,
HUY,Humberside Airport,
HUZ,Huizhou Airport,
HVB,Hervey Bay Airport,
HVD,Khovd Airport,
HVE,Intermediate,
HVG,Valan Airport,
HVK,Holmavik,
HVN,New Haven Airport,
HVR,Havre City County Airport,
HVS,Municipal,
HWA,Hawabango,
HWI,SPB,
HWK,Wilpena Pound,
HXX,Hay,
HYA,Barnstable Municipal Airport,
HYC,High Wycombe,
HYD,Rajiv Gandhi International Airport,
HYL,SPB,
HYN,Luqiao Airport,
ITQ,Itaqui,
HYR,Municipal,
HYS,Hays Municipal Airport,
HZA,Establecimiento El Araza Airport,
HZG,Hanzhong Airport,
HZH,Liping Airport,
IAA,Igarka Airport,
IAD,Washington Dulles International Airport,
IAG,Niagara Falls International Airport,
IAO,Sayak (Siargao),
IAQ,Bahregan,
IAR,Tunoshna Airport,
IAS,Iasi Airport,
IAU,Iaura,
IBA,Ibadan Airport,
IBB,General Villamil,
IBE,Ibague Airport,
HGA,Hargeisa Airport,
IBI,Iboki,
IBL,Indigo Bay Lodge,
IBM,Iron Bridge Mine Airport,
IBP,Iberia,
IBR,Ibaraki Airport,
IBZ,Ibiza Airport,
ICC,Andrés Miguel Salazar Marcano Airport,
ICK,Nieuw Nickerie,
ICL,Municipal,
ICO,Sicogon Island,
ICR,Nicaro,
ICS,Cascade,
ICT,Wichita Dwight D. Eisenhower National Airport,
ICY,Icy Bay,
IDA,Idaho Falls Regional Airport,
JHY,Hyatt Regency Heliport,
JIB,Djibouti-Ambouli International Airport,
ALN,Alton,
IDC,Ila Da Chilonzuene,
IDF,Idiofa,
IDI,ndiana County Airport (Jimmy Stewart Field),
IDK,Indulkana,
IDN,Indagen,
IDY,Ile d'Yeu,
IEG,Zielona Gora-Babimost Airport,
IEV,Kyiv International Airport,
IFA,Iowa Falls,
IFF,Iffley,
IFH,Hesa,
IFJ,Isafjordur Airport,
IFL,Innisfail,
IFN,Isfahan International Airport,
IFO,Ivano-Frankovsk Airport,
JNX,Naxos Airport,
JNP,Heliport,
IFP,Laughlin Bullhead International Airport,
JOI,Joinville-Lauro Carneiro de Loyola Airport,
IFU,Ifuru Airport,
JOH,Port Saint Johns,
IGA,Inagua Airport,
IGB,Ingeniero Jacobacci,
IGD,Igdir,
IGG,Igiugig Airport,
JOR,The City Heliport,
IGH,Ingham,
JOT,Municipal,
IGL,Cigli AB,
JPD,Heliport,
JPN,Pentagon Army,
JPR,Ji-Parana Airport,
JPT,Park Ten Heliport,
JQE,Jaque Airport,
JRC,Municipalcipal Heliport,
IGM,Kingman,
IGN,Maria Cristina,
IGO,Chigorodo,
IGS,Ingolstadt-manching,
JRK,Arsuk,
JOE,Joensuu Airport,
JOG,Adisutjipto International Airport,
JRT,Juruti Airport,
JSA,Jaisalmer,
JSD,Sikorsky Heliport,
JSG,San Rafael Heliport,
JOK,Yoshkar-Ola Airport,
JOL,Jolo,
JOM,Njombe,
JOS,Jos Airport,
JPA,Presidente Castro Pinto International Airport,
JRG,Jharsuguda Airport,
JRH,Rowriah Airport,
JRO,Kilimanjaro International Airport,
JRS,Atarot,
IGT,Magas Airport,
IGU,Cataratas International Airport,
IHC,Inhaca,
IHN,Qishn,
IHO,Ihosy,
JSL,Steel Pier Heliport,
IHR,Iran Shahr,
JSP,Seogwipo Heliport,
JSM,Jose De San Martin,
JTY,Astypalaia Airport,
JSU,Heliport,
JSY,Syros Island Airport,
JUR,Jurien Bay,
JTI,Jatai,
JTO,Heliport,
JTR,Santorini International Airport,
IIL,Ilaam Airport,
JWA,Jwaneng,
JUC,Universal City Heliport,
JUH,Chizhou Jiuhuashan Airport,
IJU,J. Batista Bos Filho Airport,
JUJ,El Cadillal Airport,
IJX,Municipal,
IKA,Imam Khomeini International Airport,
JUO,Jurado,
JUP,Cable Heliport,
IKB,Wilkes County,
JUT,Juticalpa,
JUZ,Quzhou Airport,
JVL,Rock County,
IKI,Iki Airport,
IKK,Greater Kankakee,
JWL,Woodlawns,
IKP,Inkerman,
JXN,Reynolds Municipal,
IKS,Tiksi Airport,
IKT,Irkutsk International Airport,
IKU,Issyk-Kul International Airport,
JSR,Jessore Airport,
JST,Cambria County Airport,
KAC,Kameshly Airport,
KAD,Kaduna Airport,
KUZ,Gunsan Airbase,
JTC,Bauru-Arealva Airport,
JUB,Juba International Airport,
JUI,Juist,
JUL,Juliaca Airport,
JUM,Jumla,
JWN,Zanjan,
JYR,Jiroft,
JYV,Jyvaskyla Airport,
JZH,Jiuzhai Huanglong Airport,
KAA,Kasama Airport,
ILB,Ilha Solteira,
KAJ,Kajaani Airport,
KAM,Kamaran Island,
KAN,Mallam Aminu Kano International Airport,
KAO,Kuusamo Airport,
ILD,Lleida-Alguaire Airport,
KAT,Kaitaia,
ILE,Municipal,
KAX,Kalbarri,
KAZ,Kau,
KBA,Kabala,
KBH,Kalat,
KBL,Kabul International Airport,
KBP,Boryspil International Airport,
KBI,Kribi,
KBR,Sultan Ismail Petra Airport,
KBS,Bo,
KBV,Krabi Airport,
KBN,Kabinda,
KCF,Kadanwari,
KCH,Kuching International Airport,
KAS,Karasburg,
KAU,Kauhava,
ILG,Greater Wilmington,
ILH,Illis Airbase,
KBU,Gusti Syamsir Alam Airport,
ILI,Iliamna Airport,
ILK,Ilaka,
KBX,Kambuaya,
ILL,Willmar,
KBZ,Kaikoura,
KCA,Kuqa Airport,
ILM,Wilmington International Airport,
ILN,Clinton Field,
ILO,Mandurriao Airport,
ILP,Ile Des Pins Airport,
ILQ,Ilo,
ILR,Ilorin International Airport,
ILS,Ilopango International Airport,
ILU,Kilaguni,
ILX,Ileg,
ILZ,Zilina,
IMA,Iamalele,
IMD,Imonda,
IMF,Imphal Municipal Airport,
IMG,Inhaminga,
IML,Imperial,
IMM,Immokalee,
IMO,Zemio,
IMP,Imperatriz Airport,
KCK,Kirensk Airport,
KCM,Kahramanmaras Airport,
KCO,Cengiz Topel Airport,
KCP,Kamenets-podolskiy,
KCU,Masindi,
KCZ,Kochi Ryoma Airport,
ALO,Waterloo Airport,
IMT,Ford Airport,
KDH,Kandahar Airport,
KDM,Kaadedhdhoo,
INA,Inta Airport,
KDX,Kadugli,
KDN,Ndende,
INB,Independence,
KED,Kaedi,
KEF,Keflavik International Airport,
KDR,Kandrian,
KEH,Kenmore Air Harbor,
KDT,Kamphangsaen,
KDU,Skardu Airport,
KEJ,Kemerovo Airport,
KEL,Kiel-Holtenau,
KDY,Mahaweli,
KDZ,Polgolla Reservoir Airport,
KEM,Kemi/Tornio Airport,
KDA,Kolda,
KEC,Kasenga,
KDC,Kandi,
KDD,Khuzdar,
KDL,Kardla Airport,
KDO,Kadhdhoo,
KEN,Kenema,
INC,Yinchuan Hedong International Airport,
IND,Indianapolis International Airport,
INE,Chinde,
ING,Lago Argentino,
INH,Inhambane Airport,
INI,Nis Constantine the Great Airport,
INJ,Injune,
INK,Wink,
INL,Falls International Airport,
INN,Innsbruck Airport,
INO,Inongo,
INQ,Inisheer,
INT,Smith-Reynolds Airport,
INU,Nauru International,
INV,Inverness Airport,
INW,Winslow-Lindbergh,
KEO,Odienne,
KEP,Nepalganj Airport,
KEQ,Kebar,
KER,Kerman Airport,
KEV,Halli,
KEY,Kericho,
KEZ,Kelaniya River,
KGY,Kingaroy,
KGA,Kananga,
KHC,Kerch,
INX,Inanwatan,
INZ,In Salah Airport,
IOA,Ioannina Airport,
IOK,Iokea,
IOM,Isle of Man Airport,
KGN,Kasongo Lunda,
ION,Impfondo,
KGP,Kogalym International Airport,
IOP,Ioma,
IOR,Kilronan,
IOS,Ilheus/Bahia-Jorge Amado Airport,
IOU,Ile Ouen,
IOW,Iowa City,
IPC,Mataveri International Airport,
IPE,Ipil,
IPG,Ipiranga,
KHA,Khaneh,
IPH,Ipoh Airport,
IPI,San Luis Airport,
KHE,Kherson International Airport,
KHG,Kashi Airport,
KFS,Kastamonu Airport,
KGD,Khrabrovo Airport,
KGF,Karaganda Airport,
KGG,Kedougou,
KGI,Kalgoorlie Airport,
KGJ,Karonga,
KGL,Kigali International Airport,
KGO,Kirovograd,
KGS,Kos Airport,
KHD,Khorramabad,
KHH,Kaohsiung International Airport,
KHI,Jinnah International Airport,
KHJ,Kauhajoki,
KHK,Khark Island,
KHM,Khamti,
KHN,Nanchang Changbei International Airport,
IPN,Usiminas Airport,
IPT,Lycoming County Airport,
IPU,Ipiau,
IPW,Ipswich,
KHR,Kharkhorin,
KHU,Kremenchug,
KHT,Khost,
IPZ,San Isidro de El General Airport,
KIC,Mesa Del Rey,
KHX,Savannah Airstrip,
KIE,Aropa,
IQN,Qingyang Airport,
KIS,Kisumu Airport,
IQQ,Diego Aracena International Airport,
KIG,Koinghaas,
KIT,Kithira Airport,
KIX,Kansai International Airport,
KIK,Kirkuk,
KIL,Kilwa,
KJT,Kertajati International Airport,
KIO,Kili Island,
IQT,C.F. Secada Vignetta International Airport,
IRB,Municipal,
IRC,Circle City,
KIU,Kiunga,
IRD,Ishurdi,
KIW,Southdowns,
IRE,Irece,
KJA,Yemelyanovo Airport,
IRI,Nduli Airport,
KJI,Kanasi Airport,
IRJ,La Rioja Airport,
KJP,Kerama,
IRK,Kirksville Municipal Airport,
KJX,Blangpidie Airport,
IRM,Igrim,
IRN,Iriona,
KHS,Khasab Airport,
KHV,Khabarovsk Airport,
KHY,Khoy,
KID,Kristianstad Airport,
KIH,Kish International Airport,
KIJ,Niigata Airport,
KIM,Kimberley Airport,
KIR,Kerry County Airport,
KIV,Chisinau International Airport,
KJH,Kaili Huangping Airport,
KJK,Kortrijk,
KKC,Khon Kaen Airport,
KKE,Kerikeri Airport,
IRO,Birao,
IRP,Matari,
IRS,Kirsch Municipal,
KKJ,Kitakyushu Airport,
KKM,Lop Buri,
KKN,Kirkenes Airport Hoeybuktmoen,
KKO,Kaikohe,
KKS,Kashan Airport,
KKT,Kentland,
IRU,Iranamadu SPB,
IRZ,Tapuruquara,
KLC,Kaolack,
KLD,Migalovo,
ISB,Islamabad International Airport,
KLF,Grabtsevo Airport,
KLO,Kalibo International Airport,
KLH,Kolhapur,
KLU,Klagenfurt Airport,
KLJ,Klaipeda,
KLV,Karlovy Vary Airport,
KLX,Kalamata Airport,
ISC,St Marys,
KME,Kamembe,
KMG,Kunming Changshui International Airport,
KMI,Miyazaki Airport,
KLQ,Keluang,
KLR,Kalmar Oland Airport,
KMJ,Kumamoto Airport,
KLT,Kaiserslautern,
KKY,Kilkenny,
KKZ,Koh Kong,
KLB,Kalabo Airport,
KLE,Kaele,
KLM,Kalaleh,
ISD,Iscuande,
KLZ,Kleinzee,
ISE,Isparta Suleyman Demirel Airport,
KMC,King Khalid Military,
ISG,Painushima Ishigaki Airport,
ISH,Ischia Airport,
ISJ,Isla Mujeres,
KMH,Kuruman,
ISK,Gandhinagar Airport,
ISM,Kissimmee Gateway,
ISO,Stallings Field,
ISP,Long Island MacArthur Airport,
ISQ,Schoolcraft County,
ISS,Wiscasset,
IST,Istanbul New Airport,
ISU,Sulaimaniyah International Airport,
KMN,Kamina,
KMP,J.G.H. Van Der Wath,
KMQ,Komatsu Airport,
KMS,Kumasi Airport,
KMT,Kampot,
KMU,Kismayu,
KMV,Kalemyo Airport,
KMW,Sokerkino,
KMX,Khamis Mushait,
KMZ,Kaoma,
KNA,Vina del Mar,
ISW,Alexander Field,
KNF,Marham RAF,
KNG,Kaimana Airport,
ITA,Itacoatiara,
KNI,Katanning,
KNJ,Kindamba,
KNO,Kuala Namu International Airport,
KNM,Kaniama,
KNN,Kankan,
KNR,Jam,
KNS,King Island Airport,
KNQ,Kone,
KNZ,Kenieba,
KNB,Kanab,
KNT,Municipal,
ITB,Itaituba,
KNH,Kinmen Airport,
KNU,Kanpur Airport,
KOO,Kongolo,
ITE,Itubera,
ITH,Ithaca Tompkins Regional Airport,
ITK,Itokama,
KOC,Koumac,
KOD,Kotabangun,
ITM,Itami Airport,
ITN,Itabuna,
KOG,Khong,
ITR,Hidroeletrica,
ITU,Iturup,
IUE,Hanan Airport,
IUL,Ilu,
IUS,Inus,
IVA,Ambanja,
KON,Kontum,
IVC,Invercargill Airport,
IVG,Ivangrad,
IVH,Ivishak,
IVI,Isla Viveros,
IVL,Ivalo Airport,
IVO,Chivolo,
IVR,Inverell,
IWA,Ivanovo Yuzhny Airport,
IWD,Gogebic County Airport,
KOQ,Koethen,
KOS,Sihanouk International Airport,
KOU,Koulamoutou,
KOV,Kokshetau Airport,
KOW,Ganzhou Airport,
KPD,King Of Prussia,
KPO,Pohang Airport,
KPS,Kempsey,
KPT,Jackpot,
KPW,Keperveyem Airport,
KQH,Kishangarh Airport,
KQT,Qurghonteppa International Airport,
KRF,Kramfors Airport,
KRN,Kiruna Airport,
IWJ,Hagi-Iwami Airport,
