TERM,MEANING
NHIN,Nationwide Health Information Network
NHRP,Next Hop Resolution Protocol
NI,Network Intelligence
Ni2,Net indexer 2
NIAP,National Information Assurance Partnership
NIC,Network Interface Card
NIC,network interface card
NiCd,Nickel-Cadmium battery
NiMH,Nickel-Metal Hydride battery
NIS,Network Information System
NIST,National Institute of Standards and Technology
NJE,Network Job Entry
NLM,National Library of Medicine
NLP,natural language processing
NMTA,National Machining and Tooling Association
NNI,National Nanotechnology Initiative
NNM,Network Node Manager
NNTP,Network News Transfer Protocol
NOC,Network Operations Center
noop,No Operation
NOS,Network Operating System
NoSQL,Not Only SQL
NPC,Non-Player Character (in role-playing games)
NPD,New Product Development 
NPE,Non-Practicing Entity 
NPI,National Provider Identifier
NPI,New Product Introduction
NPIV,N_Port ID virtualization
NPV,Net present value
NQF,National Quality Forum
NRLA,National Labor Relations Board
NRZ,non-return-to-zero
NSAP,Network Service Access Point
NSAPI,Netscape Server Application Programming Interface
NSIS,Next Steps in Signaling
NSP,network service provider
NT1,network terminator 1
NTIA,"(U.S.) National Telecommunications and Information Administration"
NTFS,New Technology File System
NTP,Network Time Protocol
NTR,Normal Trade Relations
NTS,Number Translation Service
NTSC,National Television Standards Committee
NTU,nuclear time unit
NUI,natural user interface
NUMA,non-uniform memory access
NURBS,nonuniform rational B-spline
NUS,network unified storage
NVGRE,Network Virtualization using Generic Routing Encapsulation
NVLAP,National Voluntary Laboratory Accreditation Program
NVM,Non-Volatile Memory
NVMe,Non-Volatile Memory Express
NVS,nonvolatile storage
NWR,NOAA Weather Radio
O2O,Online to Offline
OA&M,"operations, administration, and management"
OAB,offline address book
OASIS,Organization for the Advancement of Structured Information Standards
OBI,Open Buying on the Internet
OCC,Office of the Comptroller of the Currency
OCM,organizational change management 
OCNCC,Oracle Communications Network Charging and Control
OCR,optical character recognition
OCSP,Online Certificate Status Protocol
OCW,MIT OpenCourseWare
OCx,Optical Carrier levels
ODBC,Open Database Connectivity
ODCA,Open Data Center Alliance
ODF,Open Document Format
ODI,Open Data-Link Interface
ODIN,"Open Data Center with an Interoperable Network, Open Device Identification Number"
ODL,Open and Distance Learning
ODM,Original Design Manufacturer
ODMA,Open Document Management API or Application Program Interface
ODMR,On-Demand Mail Relay
ODP,Open Directory Project
ODS,operational data store
ODS,Ozone Depleting Substance
ODX,Offloaded Data Transfer
OEBF,Open Electronic Book Forum
OFB,output feedback
OFDM,orthogonal frequency-division multiplexing
OGSA,Open Grid Services Architecture
OHA,Open Handset Alliance
OID,object ID
OLA,operational level agreement
OLAP,online analytical processing
OLE,Object Linking and Embedding
OLPC,One Laptop Per Child
OLT,optical line terminal
OLTP,On Line Transaction Processing
OMAP,Open Multimedia Application Platform
OMG,Object Management Group
OMSS,Oracle Mobile Security Suite
ONF,Open Networking Foundation
OODBMS,object-oriented database management system
OoOE,out-of-order execution
OOP,object-oriented programming
OOPSLA,"Object-Oriented Programming Systems, Languages and Applications"
OOXML,Office Open Extended Markup Language
OPC,OLE for Process Control
OpenGL,Open Graphics Library
OpenNMS,Open Network Management System
OpenVPN,open source virtual private network
Opex,operational expenditure
OPM,operational performance management
OPML,Outline Processor Markup Language
OPS,Open Profiling Standard
OPT,Optimized Production Technology
ORB,Object Request Broker
ORBS,Open Relay Behavior-modification System
ORM,object-relational mapping
OS,operating system
OSA,Open System Authentication
OSBI,open source business intelligence
OSD,object storage device 
OSDL,Open Source Development Labs
OSF,Open Software Foundation
OSGi,Open Service Gateway Initiative
OSI,Open Systems Interconnection
OSP,online service provider
OSP,Open Settlement Protocol
OSPF,Open Shortest Path First
OSS,"Online Service System, Open Source Software, Operational Support System, Off-the-shelf Software Support"
OTA,Over the Air
OTC,order to cash
OTCR,On-Time delivery performance to Customer Request Date
OTFT,organic thin-film transistor
OTM,Optivity Telephony Manager
OTP,one-time password
OU,organizational unit
OVSDB,Open vSwitch Database Management Protocol
OWA,Microsoft Outlook Web App
OWASP,Open Web Application Security Project
OWD,OneWebDay
P&L,profit and loss statement
P-Ink,photonic ink
P2P,"path to profitability,Peer to Peer,procure to pay"
P2T,Push to Talk
P2V,physical to virtual
P3P,Platform for Privacy Preferences
P4,Pentium 4
P4P,proactive provider participation for P2P
PA,Power Amplifier
PA-DSS,Payment Application Data Security Standard
PaaS,Platform as a Service
PABX,private automatic branch exchange
PAC,Production Activity Control
PACS,Personal Access Communications System
PACS,picture archiving and communication system
PAIR,Policy Analysis of Internet Routing
PAL,Phase Alternation Line
PAM,"partner account manager, pulse amplitude modulation"
PAN,personal area network
PAP,Packet-Level Procedure
PAR,performance and accountability reporting
PARC,Palo Alto Research Center
PAT,Port Address Translation
PBD,physical block device
PBT,"Persistent, Bioaccumulative and Toxic"
PBX,private branch exchange
PC,Personal Computer
PC,project charter
PC-DOS,Personal Computer - Disk Operating System
PCAOB,Public Company Accounting Oversight Board
PCB,printed circuit board
PCE,Path Computation Element
PCEP,Path Computation Element Protocol
PCI,Peripheral Component Interconnect
PCIe,Peripheral Component Interconnect Express
PCL,Printer Control Language 
PCM,phase-change memory
PCM,pulse code modulation
PCMCIA,Personal Computer Memory Card International Association
PCRF,Policy and Charging Rules Function
PCS,personal cloud storage
PCS,personal communications service
PDA,personal digital assistant
PDF,Portable Document Format
PDL,page description language
PDM,Product Data Management
PDP-11,Programmed Data Processor-11
PDU,power distribution unit
PEAP,Protected Extensible Authentication Protocol
PEBCAK,problem exists between chair and keyboard
pel,picture element
PERT,Program Evaluation Review Technique
PF,prefetch folder
PFC,power factor correction or power factor controller
PGP,Pretty Good Privacy
PHDSC,Public Health Data Standards Consortium
PHI,personal health information
PHOLED,phosphorescent organic light-emitting device
PHP,"Hypertext Preprocessor, Personal Home Page"
PHR,personal health record
PHS,Personal Handyphone System
PI,Predictive Index
PI,Principal Investigator
PIA,privacy impact assessment
PIC,port interface card
PICK,"Possible, Implement, Challenge and Kill"
PICS,Platform for Internet Content Selection
PICTIVE,Plastic Interface for Collaborative Technology Initiatives through Video Exploration
PID,Problem Identification Document
PID,process identifier
PIFI,personally identifiable financial information
PII,personally identifiable information
PIM,"privileged identity management, processing in memory, Product Information Management, protocol-independent multicast"
PIO,Programmed Input/Output
PIP,"Partner Integration Process, Picture in Picture"
PIV,personal identity verification
PKCS,Public-Key Cryptography Standards
PKI,public key infrastructure
PL/S,Programming Language/System
PL/SQL,procedural language extension to Structured Query Language
PLATO,Programmed Logic for Automatic Teaching Operations
PLC,packet loss concealment
PLEDM,phase-state low electron drive memory
PLL,phase-locked loop
PLM,Product Lifecycle Management
PLMN,public land mobile network
PM,phase modulation
PMI,"plus, minus, interesting"
PML,Portal Markup Language
PMML,Predictive Model Markup Language
PMO,Project Management Office
PMP,Project Management Professional
PMS,package manager or package management system
PN,programmable network
pNFS,Parallel NFS
PNG,Portable Network Graphics
PnP,Plug and Play
POC,Packet Order Correction
POC,proof of concept 
PoE,Power over Ethernet
PoIP,Pray over Internet Protocol
POLP,principle of least privilege
POM,Production/Operations Management
PON,passive optical network
POP,point-of-presence
POP3,Post Office Protocol 3
PoR,power-on reset
POS,"personal operating space, Point of Sale"
POSIX,Portable Operating System Interface
POST,Power-On Self-Test
POTS,plain old telephone service
PP&E,"Property, Plant & Equipment"
PPD,parallel presence detect
PPD,post-processing deduplication
PPD,Postscript Printer Description file
PPGA,plastic pin grid array
ppi,pixels per inch
PPM,"Pages per minute (a measurement of printing speed), Perl package manager (for software packages), Prediction by partial matching (a data compression technique), project and portfolio management"
PPP,Point-to-Point Protocol
PPPoE,Point-to-Point Protocol over Ethernet
PPTP,Point-to-Point Tunneling Protocol
PR,"Problem Report, Process Reengineering"
PRI,Primary Rate Interface
PRM,partner relationship management
PRNG,pseudo-random number generator
PROM,programmable read-only memory
PRONet,Procurement Marketing and Access Network
PRS,Personal Response System 
PRS,Premium Rate Service
PRSA,Public Relations Society of America
PRT,Pre-requisite Tree
PSA,professional services automation
PSK,phase-shift keying
PSN,processor serial number
PSOD,Purple Screen of Death
PSS,Personal Search Syndication
PSTN,public switched telephone network
PTAC,Procurement Technical Assistance Center
PTF,program temporary fix
PTO,Patent and Trademark Office
PTT,Push to Talk
PU,physical unit
PUE,power usage effectiveness
PUP,potentially unwanted program
PVC,permanent virtual circuit
PVM,Parallel Virtual Machine
PVR,personal video recorder
PWS,Personal Web Server
PXE,Preboot Execution Environment
QA,Quality Assurance
QAM,quadrature amplitude modulation
QB,Quality Breakdown
QBE,Query by Example
QC,Quality Control
QD,Quantum Dots
QDOS,86-DOS
QFE,Quad FastEthernet
QFE,Quick Fix Engineering
QFP,Quad Flat Package
qHD,quarter high definition
QIX,NASDAQ Information Exchange protocol
QoE,Quality of Experience
QoS,Quality of Service
QPS,queries-per-second
QR,Quick Response
QSA,Qualified Security Assessor
QSIG,Q signaling
QVGA,Quarter Video Graphics Array
QXGA,Quantum Extended Graphics Array
R&D,Research and Development
R3,"Reduce, reuse, recycle"
RA,registration authority
RAC,Real Application Cluster
RACE,Rapid Access Computing Environment
RACF,Resource Access Control Facility
RAD,Rapid Application Development
RADIUS,Remote Authentication Dial-In User Service
RAF,Risk Assessment Framework
RAG,Retrieval Augmented Generation
RAID,Redundant Array of Independent Disks
RAIN,redundant/reliable array of inexpensive/independent nodes
RAM,Random Access Memory
RAMAC,Random Access Method of Accounting and Control
RAMDAC,Random Access Memory dDgital-to-analog Converter
RAND,reasonable and nondiscriminatory
RAP,Revenue Acquisition Process
RARP,Reverse Address Resolution Protocol
RAS,"Registration,Admission and Status, or Reliability,Availability and Serviceability, or Remote Access Server, row address strobe"
RAT,Remote Access Trojan
RBA,Risk-Based Authentication
RBAC,Role-Based Access Control
RBOC,Regional Bell Operating Company
RCE,Remote Code Execution
RCP,Rich Client Platform
RD,Running Disparity
RDBMS,Relational DataBase Management System
RDC,Remote Deposit Capture
RDF,Resource Description Framework
RDM,Raw Device Mapping
RDMA,Remote Direct Memory Access
rDNS,Reverse DNS
RDO,Remote Data Objects
RDP,Remote Desktop Protocol
RDRAM,Rambus Dynamic Random Access Memory
RDS,Amazon Relational Database Service
RDS,Radio Data System
RDS,Remote Desktop Services
RDT&E,"Research, Development, Testing & Evaluation"
REC,Regional Extension Center
ReFS,Resilient File System
regex,regular expression
REST,REpresentational State Transfer
RF,Radio Frequency
RFC,Remote Function Call
RFC,Request for Comments
RFI,request for information
RFID,Radio Frequency IDentification
RFO,Request for Offer
RFP,Request for Proposal 
RFQ,Request for Quotation
RFR,Red Flags Rule
RGB,"red, green, and blue"
RHCVA,Red Hat Certified Virtualization Administrator
RHEL,Red Hat Enterprise Linux
RHEV,Red Hat Enterprise Virtualization
RHIA,Registered Health Information Administrator
RHIO,Regional Health Information Organization
RHIT,Registered Health Information Technician
RHS,Red Hat Storage
RIA,Rich Internet Application
RIAA,Recording Industry Association of America
RIBLOE,Remote Insight Board -- Lights Out Edition
RID,Relative IDentifier
RIM,"Records Information Management, or: Reference Information Model"
RIP,"Raster Image Processor, or: Routing Information Protocol"
RIR,Regional Internet Registry
RIS,"Radiology Information System, or: Remote Installation Service"
RISC,Reduced Instruction Set Computer
RJE,Remote Job Entry
RMA,Return Material (or Merchandise) Authorization
RMI,Remote Method Invocation
RMM,Remote Monitoring & Management
RMON,Remote Network Monitoring
RMS,root-mean-square
RNAAPP,Remote Network Access Application
RNIS,Reseau Numerique a Integration de Services
ROA,Resource-Oriented Architecture
ROADM,Reconfigurable Optical Add-Drop Multiplexer
ROC,Report on Compliance
ROD,Reuse-Oriented Model or Reuse-Oriented Development
RODC,Read-Only Domain Controller
RoHS,Restriction of Hazardous Substances
ROI,Return On Investment
ROIC,Return On Invested Capital
ROKSO,Register of Known Spam Operations
ROLAP,Relational Online Analytical Processing
ROM,Read-Only Memory
ROMI,Return On Marketing Investment
RONA,Return On Net Assets
ROP,Reorder Point
RoR,Ruby on Rails
RoT,Roots of Trust
ROU,Record Of Understanding
ROWE,Results-Only Work Environment
RPC,Remote Procedure Call
RPG,"Report Program Generator, Role-Playing Game"
RPM,"Rapid Response Manufacturing, Remote Patient Monitoring, Red Hat Package Manager"
RPO,"Recovery Point Objective, Recruitment Process Outsourcing"
RPR,Resilient Packet Ring
RPT,Rich Presence Technology
RQ,Risk Intelligence
RRAM,resistive RAM
RSAT,Microsoft Remote Server Administration Tools
RSC,Retail Service Center
RSI,requirements stability index
RSNA,Radiological Society of North America
RSoP,Resultant Set of Policy
RSS,Really Simple Syndication (feeds)
RSVP,Resource Reservation Protocol
RT,retweet
RTA,real-time application
RTC,"real-time clock, real-time communications"
RTCD,real-time communications dashboard 
RTCP,Real-Time Transport Control Protocol
RTD,"reconfigurable tactile display, Research and Technical Development"
RTF,Rich Text Format
RTFM,Read The Fucking Manual
RTLS,real-time location system
RTM,Read The Manual
RTO,recovery time objective
RtOI,real-time operational intelligence
RTOS,real-time operating system
RTP,Real-Time Transport Protocol
RTSP,Real Time Streaming Protocol
RTT,round-trip time
RUP,Rational Unified Process
RWU,remote wakeup
RZ,return-to-zero
S&OP,sales and operations planning
S/FTP,Screened Foil Twisted Pair
S-HTTP,Secure HTTP
S.M.A.R.T.,Self-Monitoring Analysis & Reporting Technology
S/MIME,Secure Multi-Purpose Internet Mail Extensions
S/PDIF,Sony/Philips Digital Interface
S4L,spam for life
SA,"Microsoft Exchange System Attendant, Microsoft Software Assurance, service assurance"
SAA,Systems Application Architecture
SaaS,"Software as a Service, Security as a Service, Storage as a Service"
SACD,Super Audio CD
SAFE,Samsung for Enterprise
SAM,"Security Accounts Manager, storage area management"
SAML,Security Assertion Markup Language
SAN,storage area network
SAPI,Speech Application Program Interface
SAPPHIRE,SAP User Conference
SAR,"Segmentation and Reassembly, Suspicious Activity Report"
SAS,serial-attached SCSI
SASID,Self-Scanned Amorphous Silicon Integrated Display
SAX,Simple API for XML
SBAs,search-based applications
SBC,session border controller
SBIR,Small Business Innovative Research
SBOM,Software bill of materials
SBR,skill-based routing
SC,"sunk cost, supply chain"
SCA,service-component architecture
SCADA,Supervisory Control And Data Acquisition
SCC,Supply Chain Council
SCCP,Signalling Connection Control Part
SCE,supply chain execution
SCEM,supply chain event management
SCI,serial communications interface
SCL,spam confidence level
SCM,Supply Chain Management
SCOR,Supply Chain Operations Reference model
SCORM,Shareable Content Object Reference Model
SCP,"session control protocol, supply chain planning"
SCR,Synchronized Customer Response
SCSA,Signal Computing System Architecture
SCSI,Small Computer System Interface 
SCSIe,SCSI Express
SCTP,Stream Control Transmission Protocol
SCV,supply chain visibility
SD2,Sound Designer II
SDA,Smart Data Access
SDARS,Satellite Digital Audio Radio Service
SDB,Small Disadvantaged Business
SDDC,software-defined data center
SDDL,Security Descriptor Definition Language
SDH,Synchronous Digital Hierarchy
SDI,Serial Digital Interface
SDK,Software Development Kit
SDL,Specification and Description Language
SDLC,"Synchronous Data Link Control, systems development life cycle"
SDMA,spatial division multiple access
SDN,software-defined networking
SDO,Service Data Objects
SDP,Session Description Protocol
SDR,software-defined radio
SDRAM,synchronous DRAM
SDTV,standard definition television
SDWT,self-directed work team
SDX,NetScaler
SDXC,Secure Digital Extended Capacity card
SEC,Securities and Exchange Commission
SECAM,Sequential Couleur avec Memoire
SEI,Software Engineering Institute 
SEM,single-electron memory
SEO,search engine optimization
SerDes,serializer/deserializer
SERP,search engine results page
SET,Secure Electronic Transaction
SETI,Search for Extraterrestrial Intelligence
SEWP,Solutions for Enterprise-Wide Procurement
SFA,Sales Force Automation
SFA,sales force automation
SFA,single-factor authentication
SFF,small form factor
SFP,small form-factor pluggable
SFS,stepless frequency control
SFTP,Secure File Transfer Protocol
SFX,special effects
SGA,"Selling, General and Administrative expenses"
SGF,Structured Graph Format
SGI,Silicon Graphics
SGML,Standard Generalized Markup Language
SGRAM,Synchronous Graphics RAM
Si,silicon
SI,systems integrator
SID,security identifier
SIEM,security information and event management
SIG,Special Interest Group
SIGTRAN,Signaling Transport
SIM,security information management
SIMD,Single Instruction Multiple Data
SIMM,"Service Integration Maturity Model, single in-line memory module"
SIMO,"single input, multiple output"
SIMPLE,SIP for Instant Messaging and Presence Leveraging Extensions
SIP,Session Initiation Protocol
SIPOC,"suppliers, inputs, process, outputs, customers"
SIRDS,single-image random-dot stereogram
SISO,"single input, single output"
SIV,Signal Integrity Verification
SJC,Senate Judiciary Committee
SKA,Shared Key Authentication
SKIL,"Bill Securing Knowledge, Innovation and Leadership Act"
SKU,Stock Keeping Units
SLA,service-level agreement
SLC,single level cell
SLD,second-level domain
SLICE,Simple Low-Cost Innovative Engine
SLIP,Serial Line Internet Protocol
SLP,Service Location Protocol
SMART,Self Monitoring Analysis and Reporting Technology
SMB,"Server Message Block, small and medium-sized business, small and midsized business"
SMBXML,Small Business Extensible Markup Language
SMDS,Switched Multimegabit Data Service
SME,"small to medium enterprise, Society of Manufacturing Engineers"
SMF,Standard MIDI File
SMI-S,Storage Management Initiative Specification
SMIL,Synchronized Multimedia Integration Language
SMM,social media marketing
SMMS,Social media management software
SMP,symmetric multiprocessing
SMPTE,Society of Motion Picture and Television Engineers
SMR,Specialized Mobile Radio
SMS,Short Message Service 
SMSC,short message service center
SMT,Simultaneous Multithreading
SMTP,Simple Mail Transfer Protocol
SMWT,Self Managed Work Teams
SNA,Systems Network Architecture
SNAFU,"situation normal, all f***ed up"
SNG,satellite news gathering
SNMP,Simple Network Management Protocol
SNOMED,Systematized Nomenclature of Medicine
SNR,signal-to-noise ratio
SOA,service-oriented architecture
SOAP,Simple Object Access Protocol
SOC,switch-on-a-chip
SoC,system-on-a-chip
SoD,segregation of duties
SOFC,solid oxide fuel cell
SOHO,Small Office Home Office
SOI,"service-oriented integration, Silicon-on-Insulator"
SOLED,stacked organic light-emitting device
SoLoMo,"social, local and mobile"
SOM,service-oriented management
SoMoClo,"social, mobile and cloud"
SONET,Synchronous Optical Network
SOP,"Sales and Operations Planning, Same Origin Policy"
SOPA,Stop Online Piracy Act
SOR,system of record
SoS,system of systems
sosofo,specification of a sequence of flow objects
SOW,Statement of Work
SOX,Sarbanes-Oxley Act
SP1,Service Pack 1
SPAC,special purpose acquisition company
SPARC,Scalable Processor Architecture
SPC,Statistical Process Control
SPD,Serial presence detect
SPEC,Standard Performance Evaluation Corporation
SPF,Sender Policy Framework
SPI,serial peripheral interface
SPICE,Software Process Improvement and Capability dEtermination
SPID,Service Profile Identifier
SPIF,sales performance incentive fund
SPIT,spam over Internet telephony
SPM,sales performance management
SPM,Standard Process Modules
SPML,Services Provisioning Markup Language
SPOF,single point of failure
spool,simultaneous peripheral operations online
SPS,Standard Procurement System
SPX,Sequenced Packet Exchange
SQL,Structured Query Language
SQuID,Source Quench Introduced Delay
SR-IOV,Single Root I/O Virtualization
SRAM,static random access memory
SRE,serious reportable event
SRM,"Standard Reference Material, storage resource management, supplier relationship management, sustainability risk management"
SRS,software requirements specification
SRT,Source-route transparent
SRTP,Secure Real-Time Transport Protocol or Secure RTP
SS7,Signaling System 7
SSA,Serial Storage Architecture
SSADM,Structured Systems Analysis & Design Method
SSD,Solid-State Drive
SSH,Secure Shell
SSI,"server-side include, single-system image"
SSID,service set identifier
SSL,"Secure Sockets Layer, solid-state lighting"
SSM,solid state module
SSO,single sign-on
SSP,storage service provider
SSS,solid state storage
SSSI,Solid-State Storage Initiative
SST,Streamlined Sales Tax
SSTV,slow-scan television
STAR,"Security, Trust and Assurance Registry"
STARS,Standard Accounting and Reporting System
statC,statcoulomb
statF,statfarad
statH,stathenry
statS,statsiemens
statV,statvolt
statW,statwatt
STDM,statistical time division multiplexing
STEM,"science, technology, engineering, and mathematics"
STEP,Standard for the Exchange of Product model data
STM,scanning tunneling microscope 
STML,Spoken Text Markup Language
STONITH,Shoot The Other Node In The Head
STP,spanning tree protocol
STP,standard temperature and pressure
STUN,Simple Traversal of UDP through NAT
SVC,"scalable video coding, supervisor call, switched virtual circuit"
SVG,Scalable Vector Graphics
SVVP,server virtualization validation program
SWAG,Semantic Web Agreement Group
SWAN,Structured Wireless-Aware Network
SWAT,Samba Web Administration Tool
SWF,Shockwave Flash file
Swift,Programming language released in 2014 by Apple Inc.
SWIFT,Simulated Work Input and Flow Time
SWOT,"Strengths, Weakness, Opportunity and Threats Analysis"
sysadmin,system administrator
sysop,system operator
T&M,Tools and Methodology
T/R,Transmit / Receive
T9,text on nine keys
TA,terminal adapter
TaaS,Testing as a Service
TACACS,Terminal Access Controller Access Control System
TACT,Total Average Cycle Time
TAPI,Telephony Application Program Interface
tar,Tape ARchive
TB,terabyte
TCAM,ternary content-addressable memory
TCB,trusted computing base
TCG,Trusted Computing Group 
Tcl,Tool Command Language
Tcl/Tk,Tool Command Language
TCM,Time Critical Manufacturing
TCO,total cost of ownership
TCP,Transmission Control Protocol
TCP/IP,Transmission Control Protocol/Internet Protocol
TD-SCDMA,time division synchronous code division multiple access
TDC,Total Delivered Cost
TDD,Telecommunications Display Device
TDD,test-driven development
TDM,"Team Data Manager, time-division multiplexing"
TDMA,time division multiple access
TEE,Trusted Execution Environment
telco,telephone company
TETRA,Terrestrial Trunked Radio
TEWE,Technology for Enterprise-Wide Engineering
TFT,thin-film transistor
TFTP,Trivial File Transfer Protocol
TGT,authentication ticket or ticket-granting ticket
TIA,Total Information Awareness
TIC,Trusted Internet Connections
TIFF,Tag Image File Format
TIG,Technology Implementation Group
TIM,Test Inspection Measurement
TIN,taxpayer Identification number
Tk,Tool Kit
TKIP,Temporal Key Integrity Protocol
TLC,flash triple level cell flash
TLD,top-level domain
TLS,Transport Layer Security 
TM,software talent management software
TMN,Telecommunications Management Network
TMQL,Topic Map Query Language
TMS,Transportation Management System
TN,display twisted nematic display
TOC,Theory of Constraints
TOE,TCP/IP offload engine
TOE,unified field theory or Theory of Everything
TOGAF,The Open Group Architecture Framework
TOLED,transparent organic light-emitting device
TOP,Technical Office Protocol
TOPS,Team Oriented Problem Solving
TOTP,time-based one-time password
TP,thin provisioning
TPA,Technology and Product Assurance
TPC,Transaction Processing Performance Council
TPI,Total Profit Improvement
TPM,"Total Productive Maintenance, Trusted Platform Module"
TPOP,Time-Phased Order Point
TPS,Terminal Proxy Server
TPU,Tensor Processing Unit
TQC,Total Quality Control
TQM,Total Quality Management
TRI,Toxic Release Inventory
TRILL,Transparent Interconnection of Lots of Links
TRON,The Real-Time Operating System Nucleus
TRT,Transition Tree
TSAP,Transport Services Access Point
TSCA,Toxic Substances Control Act
TSR,terminate and stay resident
TTL,"time-to-live, transistor-to-transistor logic"
TTS,text-to-speech
TtV,time to value
TTY,teletypewriter
TURN,Traversal Using Relay NAT
TVA,Throughput Value Added
TW,tin whiskers
TWG,Technology Working Group
TWT,traveling-wave tube
U2U,User to User
UART,Universal Asynchronous Receiver/Transmitter
UAT,user acceptance testing
UBE,unsolicited bulk email
UBL,Universal Business Language
UC,Unit Cost
UCaaS,Unified Communications as a Service
UCE,unsolicited commercial email
UCS,unified computing system
UDA,Universal Data Access
UDDI,"Universal Description, Discovery, and Integration"
UDF,Universal Disk Format
UDID,unique device identifier
UDO,ultra density optical
UDP,User Datagram Protocol
UEFI,Unified Extensible Firmware Interface
UGC,user-generated content
UHDTV,Ultra High-Definition TV
UHDV,ultra high definition video
UHF,ultrahigh frequency
UI,user interface
UIA,user installed application
UID,unique identifier
UIML,User Interface Markup Language
ULA,Oracle Unlimited License Agreement
UM,unified messaging 
UMLS,Unified Medical Language System
UMS,unified messaging system
UMTS,"Universal Mobile Telecommunications Service, Universal Mobile Telecommunications System"
UNC,Universal Naming Convention
UPN,User Principal Name
UPnP,Universal Plug and Play
UPS,uninterruptible power supply
URI,Uniform Resource Identifier
URL,Uniform Resource Locator
URN,Uniform Resource Name
USART,"Universal Synchronous/Asynchronous Receiver/Transmitter"
USB,Universal Serial Bus
USGCB,United States Government Configuration Baseline
USITC,United States International Trade Commission
USP,unique selling point
USR,"Universal System Resources (the /usr directory in a *NIX filesystem)"
USSD,Unstructured Supplementary Service Data
UTF,Unicode Transformation Format
UTM,unified threat management
UUCP,UNIX-to-UNIX Copy Protocol
UUID,Universally Unique Identifier (see also GUID)
UX,user experience
UXGA,Ultra Extended Graphics Array
V2P,virtual to physical
V2V,Virtual to virtual
VAAI,vStorage APIs for Array Integration
VAD,Value Added Distribution
VAD,voice activation detection 
VAMP,vStorage API for Multipathing
VAN,value-added network
VAR,Value-Added Reseller
VASA,vStorage APIs for Storage Awareness
VAX,Virtual Address eXtension
VB,Visual Basic
VBI,vertical blanking interval
VBN,visitor-based networking
vBNS,very high-speed Backbone Network Service
VBR,Vouch by Reference
VC,venture capital
vCAC,VMware vCloud Automation Center
VCB,VMware Consolidated Backup
VCD,video CD or video compact disc
VCDX,VMware certified design expert
vCLI,vSphere CLI
VCP,VMware Capacity Planner
VCP,VMware Certified Professional
vCPU,virtual CPU
VCR,videocassette recorder
VCSEL,vertical cavity surface emitting laser
vCSHB,VMware vCenter Server Heartbeat
VDA,Virtual Desktop Access
vDGA,Virtual Dedicated Graphics Acceleration
VDI,virtual desktop infrastructure
VDT,"video display terminal or visual display terminal"
VDU,video display unit
VE,Value Engineering
VERIS,Vocabulary for Event Recording and Incident Sharing
VFAT,Virtual File Allocation Table 
VFIIP,Virtual Factory Information Interchange Project
VFS,virtual file system
vGPU,virtual GPU
VHD,virtual hard disk
VHDCI,Very High Density Cable Interconnect
VHDX,Hyper-V virtual hard disk
VHE,Virtual Home Environment
VHF,very high frequency
VHS,Video Home System
VI3,VMware Infrastructure 3
VIM,Vendor Independent Messaging
Vim,Vi improved
VITC,vertical interval time code
VLAN,Virtual Local Area Network
VLDB,Very Large Database
VLE,virtual learning environment
VLER,Virtual Lifetime Electronic Record
VLIW,very long instruction word
vlog,video blog
VLOP,Very Large Online Platform
VLSI,Very Large Scale Integration
VLSM,variable-length subnet mask
VM,virtual machine
VMBus,Microsoft Virtual Machine Bus
VMEbus,VersaModular Eurocard bus
VMI,Vendor Managed Inventory
VML,vector graphics rendering 
VML,Vector Markup Language
VMLM,virtual machine lifecycle management
VMM,virtual machine monitor
VMO,vendor management office
VMQ,Virtual Machine Queue
VMS,Virtual Memory System
VMUG,VMware User Group
VMXNET3,VMXNET Generation 3
VNC,virtual network computing
vNUMA,virtual NUMA
VOB,Versioned Object Base
VOC,voice of the customer
VoD,video on demand
VoIP,voice over IP
VOIPSA,Voice over IP Security Alliance
VOVA,vSphere OpenStack Virtual Appliance
VoWLAN,Voice over WLAN
VoxML,Voice Markup Language
VP,value proposition
VPD,virtual private database
VPD,vital product data
VPDM,Virtual Product Data Management
VPLS,virtual private LAN service
VPM,Virtual Product Model
VPN,Virtual Private Network
VPS,Virtual Private Server
VRAM,Video RAM
VRF,Virtual Routing and Forwarding
VRF,virtual routing and forwarding
VRM,"Vendor Risk Management, or Voltage Regulator Module"
VRM,vendor risk management
VRM,voltage regulator module
VRML,Virtual Reality Modeling Language
VRR,"Voice Recognition and Response, or Variable Refresh Rate"
VRRP,Virtual Router Redundancy Protocol
VSA,"virtual SAN appliance, Virtual Storage Appliance"
VSAM,Virtual Storage Access Method
VSAN,virtual storage area network
VSAT,Very Small Aperture Terminal
VSB,vestigial sideband
VSE,Visual Studio Express
VSM,virtual systems management
VSMP,virtual symmetric multiprocessing
VSP,vertical solutions provider
VSP,Virtual Storage Portal
VSPP,VMware Service Provider Program
VSTO,Visual Studio Tools for Office or Microsoft Visual Studio Tools
VSTS,Visual Studio Team System
VTAM,Virtual Telecommunications Access Method
VTL,Virtual Tape Library
VUGM,Virtual User Group Meeting
VUM,VMware vSphere Update Manager
VXLAN,Virtual Extensible LAN
W-CDMA,Wideband Code-Division Multiple Access
W2K,Windows 2000
W3C,World Wide Web Consortium
WAAS,Wide Area Application Services
WaaS,Windows as a Service
WAE,Wide Area Ethernet
WAF,write amplification factor
WAFS,wide-area file services 
