"Port","Service","Protocol","Description"
"3216","ferrari-foam","udp","Ferrari electronic FOAM"
"3217","unite","tcp","Unified IP & Telecom Environment"
"3217","unite","udp","Unified IP & Telecom Environment"
"3218","smartpackets","tcp","EMC SmartPackets"
"3218","smartpackets","udp","EMC SmartPackets"
"3219","wms-messenger","tcp","WMS Messenger"
"3219","wms-messenger","udp","WMS Messenger"
"3220","xnm-ssl","tcp","XML NM over SSL"
"3220","xnm-ssl","udp","XML NM over SSL"
"3221","xnm-clear-text","tcp","XML NM over TCP"
"3221","xnm-clear-text","udp","XML NM over TCP"
"3222","glbp","tcp","Gateway Load Balancing Pr"
"3222","glbp","udp","Gateway Load Balancing Pr"
"3223","digivote","tcp","DIGIVOTE (R) Vote-Server"
"3223","digivote","udp","DIGIVOTE (R) Vote-Server"
"3224","aes-discovery","tcp","AES Discovery Port"
"3224","aes-discovery","udp","AES Discovery Port"
"3225","fcip-port","tcp","FCIP"
"3225","fcip-port","udp","FCIP"
"3226","isi-irp","tcp","ISI Industry Software IRP"
"3226","isi-irp","udp","ISI Industry Software IRP"
"3227","dwnmshttp","tcp","DiamondWave NMS Server"
"3227","dwnmshttp","udp","DiamondWave NMS Server"
"3228","dwmsgserver","tcp","DiamondWave MSG Server"
"3228","dwmsgserver","udp","DiamondWave MSG Server"
"3229","global-cd-port","tcp","Global CD Port"
"3229","global-cd-port","udp","Global CD Port"
"3230","sftdst-port","tcp","Software Distributor Port"
"3230","sftdst-port","udp","Software Distributor Port"
"3231","vidigo","tcp","VidiGo communication (previous was: Delta Solutions Direct)"
"3231","vidigo","udp","VidiGo communication (previous was: Delta Solutions Direct)"
"3232","mdtp","tcp","MDT port"
"3232","mdtp","udp","MDT port"
"3233","whisker","tcp","WhiskerControl main port"
"3233","whisker","udp","WhiskerControl main port"
"3234","alchemy","tcp","Alchemy Server"
"3234","alchemy","udp","Alchemy Server"
"3235","mdap-port","tcp","MDAP port"
"3235","mdap-port","udp","MDAP Port"
"3236","apparenet-ts","tcp","appareNet Test Server"
"3236","apparenet-ts","udp","appareNet Test Server"
"3237","apparenet-tps","tcp","appareNet Test Packet Sequencer"
"3237","apparenet-tps","udp","appareNet Test Packet Sequencer"
"3238","apparenet-as","tcp","appareNet Analysis Server"
"3238","apparenet-as","udp","appareNet Analysis Server"
"3239","apparenet-ui","tcp","appareNet User Interface"
"3239","apparenet-ui","udp","appareNet User Interface"
"3240","triomotion","tcp","Trio Motion Control Port"
"3240","triomotion","udp","Trio Motion Control Port"
"3241","sysorb","tcp","SysOrb Monitoring Server"
"3241","sysorb","udp","SysOrb Monitoring Server"
"3242","sdp-id-port","tcp","Session Description ID"
"3242","sdp-id-port","udp","Session Description ID"
"3243","timelot","tcp","Timelot Port"
"3243","timelot","udp","Timelot Port"
"3244","onesaf","tcp","OneSAF"
"3244","onesaf","udp","OneSAF"
"3245","vieo-fe","tcp","VIEO Fabric Executive"
"3245","vieo-fe","udp","VIEO Fabric Executive"
"3246","dvt-system","tcp","DVT SYSTEM PORT"
"3246","dvt-system","udp","DVT SYSTEM PORT"
"3247","dvt-data","tcp","DVT DATA LINK"
"3247","dvt-data","udp","DVT DATA LINK"
"3248","procos-lm","tcp","PROCOS LM"
"3248","procos-lm","udp","PROCOS LM"
"3249","ssp","tcp","State Sync Protocol"
"3249","ssp","udp","State Sync Protocol"
"3250","hicp","tcp","HMS hicp port"
"3250","hicp","udp","HMS hicp port"
"3251","sysscanner","tcp","Sys Scanner"
"3251","sysscanner","udp","Sys Scanner"
"3252","dhe","tcp","DHE port"
"3252","dhe","udp","DHE port"
"3253","pda-data","tcp","PDA Data"
"3253","pda-data","udp","PDA Data"
"3254","pda-sys","tcp","PDA System"
"3254","pda-sys","udp","PDA System"
"3255","semaphore","tcp","Semaphore Connection Port"
"3255","semaphore","udp","Semaphore Connection Port"
"3256","cpqrpm-agent","tcp","Compaq RPM Agent Port"
"3256","cpqrpm-agent","udp","Compaq RPM Agent Port"
"3257","cpqrpm-server","tcp","Compaq RPM Server Port"
"3257","cpqrpm-server","udp","Compaq RPM Server Port"
"3258","ivecon-port","tcp","Ivecon Server Port"
"3258","ivecon-port","udp","Ivecon Server Port"
"3259","epncdp2","tcp","Epson Network Common Devi"
"3259","epncdp2","udp","Epson Network Common Devi"
"3260","iscsi-target","tcp","iSCSI port"
"3260","iscsi-target","udp","iSCSI port"
"3261","winshadow","tcp","winShadow"
"3261","winshadow","udp","winShadow"
"3262","necp","tcp","NECP"
"3262","necp","udp","NECP"
"3263","ecolor-imager","tcp","E-Color Enterprise Imager"
"3263","ecolor-imager","udp","E-Color Enterprise Imager"
"3264","ccmail","tcp","cc:mail/lotus"
"3264","ccmail","udp","cc:mail/lotus"
"3265","altav-tunnel","tcp","Altav Tunnel"
"3265","altav-tunnel","udp","Altav Tunnel"
"3266","ns-cfg-server","tcp","NS CFG Server"
"3266","ns-cfg-server","udp","NS CFG Server"
"3267","ibm-dial-out","tcp","IBM Dial Out"
"3267","ibm-dial-out","udp","IBM Dial Out"
"3268","msft-gc","tcp","Microsoft Global Catalog"
"3268","msft-gc","udp","Microsoft Global Catalog"
"3269","msft-gc-ssl","tcp","Microsoft Global Catalog with LDAP/SSL"
"3269","msft-gc-ssl","udp","Microsoft Global Catalog with LDAP/SSL"
"3270","verismart","tcp","Verismart"
"3270","verismart","udp","Verismart"
"3271","csoft-prev","tcp","CSoft Prev Port"
"3271","csoft-prev","udp","CSoft Prev Port"
"3272","user-manager","tcp","Fujitsu User Manager"
"3272","user-manager","udp","Fujitsu User Manager"
"3273","sxmp","tcp","Simple Extensible Multiplexed Protocol"
"3273","sxmp","udp","Simple Extensible Multiplexed Protocol"
"3274","ordinox-server","tcp","Ordinox Server"
"3274","ordinox-server","udp","Ordinox Server"
"3275","samd","tcp","SAMD"
"3275","samd","udp","SAMD"
"3276","maxim-asics","tcp","Maxim ASICs"
"3276","maxim-asics","udp","Maxim ASICs"
"3277","awg-proxy","tcp","AWG Proxy"
"3277","awg-proxy","udp","AWG Proxy"
"3278","lkcmserver","tcp","LKCM Server"
"3278","lkcmserver","udp","LKCM Server"
"3279","admind","tcp","admind"
"3279","admind","udp","admind"
"3280","vs-server","tcp","VS Server"
"3280","vs-server","udp","VS Server"
"3281","sysopt","tcp","SYSOPT"
"3281","sysopt","udp","SYSOPT"
"3282","datusorb","tcp","Datusorb"
"3282","datusorb","udp","Datusorb"
"3283","Apple Remote Desktop (Net Assistant)","tcp","Net Assistant"
"3283","Apple Remote Desktop (Net Assistant)","udp","Net Assistant"
"3284","4talk","tcp","4Talk"
"3284","4talk","udp","4Talk"
"3285","plato","tcp","Plato"
"3285","plato","udp","Plato"
"3286","e-net","tcp","E-Net"
"3286","e-net","udp","E-Net"
"3287","directvdata","tcp","DIRECTVDATA"
"3287","directvdata","udp","DIRECTVDATA"
"3288","cops","tcp","COPS"
"3288","cops","udp","COPS"
"3289","enpc","tcp","ENPC"
"3289","enpc","udp","ENPC"
"3290","caps-lm","tcp","CAPS LOGISTICS TOOLKIT - LM"
"3290","caps-lm","udp","CAPS LOGISTICS TOOLKIT - LM"
"3291","sah-lm","tcp","S A Holditch & Associates - LM"
"3291","sah-lm","udp","S A Holditch & Associates - LM"
"3292","cart-o-rama","tcp","Cart O Rama"
"3292","cart-o-rama","udp","Cart O Rama"
"3293","fg-fps","tcp","fg-fps"
"3293","fg-fps","udp","fg-fps"
"3294","fg-gip","tcp","fg-gip"
"3294","fg-gip","udp","fg-gip"
"3295","dyniplookup","tcp","Dynamic IP Lookup"
"3295","dyniplookup","udp","Dynamic IP Lookup"
"3296","rib-slm","tcp","Rib License Manager"
"3296","rib-slm","udp","Rib License Manager"
"3297","cytel-lm","tcp","Cytel License Manager"
"3297","cytel-lm","udp","Cytel License Manager"
"3298","deskview","tcp","DeskView"
"3298","deskview","udp","DeskView"
"3299","pdrncs","tcp","pdrncs"
"3299","pdrncs","udp","pdrncs"
"3300","ceph","tcp","Ceph monitor"
"3300","","udp","Reserved"
"3301","","","unassigned"
"3302","mcs-fastmail","tcp","MCS Fastmail"
"3302","mcs-fastmail","udp","MCS Fastmail"
"3303","opsession-clnt","tcp","OP Session Client"
"3303","opsession-clnt","udp","OP Session Client"
"3304","opsession-srvr","tcp","OP Session Server"
"3304","opsession-srvr","udp","OP Session Server"
"3305","odette-ftp","tcp","ODETTE-FTP"
"3305","odette-ftp","udp","ODETTE-FTP"
"3306","mysql","tcp","MySQL"
"3306","mysql","udp","MySQL"
"3307","opsession-prxy","tcp","OP Session Proxy"
"3307","opsession-prxy","udp","OP Session Proxy"
"3308","tns-server","tcp","TNS Server"
"3308","tns-server","udp","TNS Server"
"3309","tns-adv","tcp","TNS ADV"
"3309","tns-adv","udp","TNS ADV"
"3310","dyna-access","tcp","Dyna Access"
"3310","dyna-access","udp","Dyna Access"
"3311","mcns-tel-ret","tcp","MCNS Tel Ret"
"3311","mcns-tel-ret","udp","MCNS Tel Ret"
"3312","appman-server","tcp","Application Management Server"
"3312","appman-server","udp","Application Management Server"
"3313","uorb","tcp","Unify Object Broker"
"3313","uorb","udp","Unify Object Broker"
"3314","uohost","tcp","Unify Object Host"
"3314","uohost","udp","Unify Object Host"
"3315","cdid","tcp","CDID"
"3315","cdid","udp","CDID"
"3316","aicc-cmi","tcp","AICC/CMI"
"3316","aicc-cmi","udp","AICC/CMI"
"3317","vsaiport","tcp","VSAI PORT"
"3317","vsaiport","udp","VSAI PORT"
"3318","ssrip","tcp","Swith to Swith Routing Information Protocol"
"3318","ssrip","udp","Swith to Swith Routing Information Protocol"
"3319","sdt-lmd","tcp","SDT License Manager"
"3319","sdt-lmd","udp","SDT License Manager"
"3320","officelink2000","tcp","Office Link 2000"
"3320","officelink2000","udp","Office Link 2000"
"3321","vnsstr","tcp","VNSSTR"
"3321","vnsstr","udp","VNSSTR"
"3322-3325","active-net","","Active Networks"
"3326","sftu","tcp","SFTU"
"3326","sftu","udp","SFTU"
"3327","bbars","tcp","BBARS"
"3327","bbars","udp","BBARS"
"3328","egptlm","tcp","Eaglepoint License Manager"
"3328","egptlm","udp","Eaglepoint License Manager"
"3329","hp-device-disc","tcp","HP Device Disc"
"3329","hp-device-disc","udp","HP Device Disc"
"3330","mcs-calypsoicf","tcp","MCS Calypso ICF"
"3330","mcs-calypsoicf","udp","MCS Calypso ICF"
"3331","mcs-messaging","tcp","MCS Messaging"
"3331","mcs-messaging","udp","MCS Messaging"
"3332","mcs-mailsvr","tcp","MCS Mail Server"
"3332","mcs-mailsvr","udp","MCS Mail Server"
"3333","dec-notes","tcp","DEC Notes"
"3333","dec-notes","udp","DEC Notes"
"3334","directv-web","tcp","Direct TV Webcasting"
"3334","directv-web","udp","Direct TV Webcasting"
"3335","directv-soft","tcp","Direct TV Software Updates"
"3335","directv-soft","udp","Direct TV Software Updates"
"3336","directv-tick","tcp","Direct TV Tickers"
"3336","directv-tick","udp","Direct TV Tickers"
"3337","directv-catlg","tcp","Direct TV Data Catalog"
"3337","directv-catlg","udp","Direct TV Data Catalog"
"3338","anet-b","tcp","OMF data b"
"3338","anet-b","udp","OMF data b"
"3339","anet-l","tcp","OMF data l"
"3339","anet-l","udp","OMF data l"
"3340","anet-m","tcp","OMF data m"
"3340","anet-m","udp","OMF data m"
"3341","anet-h","tcp","OMF data h"
"3341","anet-h","udp","OMF data h"
"3342","webtie","tcp","WebTIE"
"3342","webtie","udp","WebTIE"
"3343","ms-cluster-net","tcp","MS Cluster Net"
"3343","ms-cluster-net","udp","MS Cluster Net"
"3344","bnt-manager","tcp","BNT Manager"
"3344","bnt-manager","udp","BNT Manager"
"3345","influence","tcp","Influence"
"3345","influence","udp","Influence"
"3346","trnsprntproxy","tcp","Trnsprnt Proxy"
"3346","trnsprntproxy","udp","Trnsprnt Proxy"
"3347","phoenix-rpc","tcp","Phoenix RPC"
"3347","phoenix-rpc","udp","Phoenix RPC"
"3348","pangolin-laser","tcp","Pangolin Laser"
"3348","pangolin-laser","udp","Pangolin Laser"
"3349","chevinservices","tcp","Chevin Services"
"3349","chevinservices","udp","Chevin Services"
"3350","findviatv","tcp","FINDVIATV"
"3350","findviatv","udp","FINDVIATV"
"3351","btrieve","tcp","Btrieve port"
"3351","btrieve","udp","Btrieve port"
"3352","ssql","tcp","Scalable SQL"
"3352","ssql","udp","Scalable SQL"
"3353","fatpipe","tcp","FATPIPE"
"3353","fatpipe","udp","FATPIPE"
"3354","suitjd","tcp","SUITJD"
"3354","suitjd","udp","SUITJD"
"3355","ordinox-dbase","tcp","Ordinox Dbase"
"3355","ordinox-dbase","udp","Ordinox Dbase"
"3356","upnotifyps","tcp","UPNOTIFYPS"
"3356","upnotifyps","udp","UPNOTIFYPS"
"3357","adtech-test","tcp","Adtech Test IP"
"3357","adtech-test","udp","Adtech Test IP"
"3358","mpsysrmsvr","tcp","Mp Sys Rmsvr"
"3358","mpsysrmsvr","udp","Mp Sys Rmsvr"
"3359","wg-netforce","tcp","WG NetForce"
"3359","wg-netforce","udp","WG NetForce"
"3360","kv-server","tcp","KV Server"
"3360","kv-server","udp","KV Server"
"3361","kv-agent","tcp","KV Agent"
"3361","kv-agent","udp","KV Agent"
"3362","dj-ilm","tcp","DJ ILM"
"3362","dj-ilm","udp","DJ ILM"
"3363","nati-vi-server","tcp","NATI Vi Server"
"3363","nati-vi-server","udp","NATI Vi Server"
"3364","creativeserver","tcp","Creative Server"
"3364","creativeserver","udp","Creative Server"
"3365","contentserver","tcp","Content Server"
"3365","contentserver","udp","Content Server"
"3366","creativepartnr","tcp","Creative Partner"
"3366","creativepartnr","udp","Creative Partner"
"3367-3371","satvid-datalnk","","Satellite Video Data Link"
"3372","tip2","tcp","TIP 2"
"3372","tip2","udp","TIP 2"
"3373","lavenir-lm","tcp","Lavenir License Manager"
"3373","lavenir-lm","udp","Lavenir License Manager"
"3374","cluster-disc","tcp","Cluster Disc"
"3374","cluster-disc","udp","Cluster Disc"
"3375","vsnm-agent","tcp","VSNM Agent"
"3375","vsnm-agent","udp","VSNM Agent"
"3376","cdbroker","tcp","CD Broker"
"3376","cdbroker","udp","CD Broker"
"3377","cogsys-lm","tcp","Cogsys Network License Manager"
"3377","cogsys-lm","udp","Cogsys Network License Manager"
"3378","wsicopy","tcp","WSICOPY"
"3378","wsicopy","udp","WSICOPY"
"3379","socorfs","tcp","SOCORFS"
"3379","socorfs","udp","SOCORFS"
"3380","sns-channels","tcp","SNS Channels"
"3380","sns-channels","udp","SNS Channels"
"3381","geneous","tcp","Geneous"
"3381","geneous","udp","Geneous"
"3382","fujitsu-neat","tcp","Fujitsu Network Enhanced Antitheft function"
"3382","fujitsu-neat","udp","Fujitsu Network Enhanced Antitheft function"
"3383","esp-lm","tcp","Enterprise Software Products License Manager"
"3383","esp-lm","udp","Enterprise Software Products License Manager"
"3384","hp-clic","tcp","Cluster Management Services"
"3384","hp-clic","udp","Hardware Management"
"3385","qnxnetman","tcp","qnxnetman"
"3385","qnxnetman","udp","qnxnetman"
"3386","gprs-data","tcp","GPRS Data"
"3386","gprs-sig","udp","GPRS SIG"
"3387","backroomnet","tcp","Back Room Net"
"3387","backroomnet","udp","Back Room Net"
"3388","cbserver","tcp","CB Server"
"3388","cbserver","udp","CB Server"
"3389","ms-wbt-server","tcp","MS WBT Server"
"3389","ms-wbt-server","udp","MS WBT Server"
"3390","dsc","tcp","Distributed Service Coordinator"
"3390","dsc","udp","Distributed Service Coordinator"
"3391","savant","tcp","SAVANT"
"3391","savant","udp","SAVANT"
"3392","efi-lm","tcp","EFI License Management"
"3392","efi-lm","udp","EFI License Management"
"3393","d2k-tapestry1","tcp","D2K Tapestry Client to Server"
"3393","d2k-tapestry1","udp","D2K Tapestry Client to Server"
"3394","d2k-tapestry2","tcp","D2K Tapestry Server to Server"
"3394","d2k-tapestry2","udp","D2K Tapestry Server to Server"
"3395","dyna-lm","tcp","Dyna License Manager (Elam)"
"3395","dyna-lm","udp","Dyna License Manager (Elam)"
"3396","printer-agent","tcp","Printer Agent
IANA assigned this well-formed service name as a replacement for ""printer_agent""."
"3396","printer_agent","tcp","Printer Agent"
"3396","printer-agent","udp","Printer Agent
IANA assigned this well-formed service name as a replacement for ""printer_agent""."
"3396","printer_agent","udp","Printer Agent"
"3397","cloanto-lm","tcp","Cloanto License Manager"
"3397","cloanto-lm","udp","Cloanto License Manager"
"3398","mercantile","tcp","Mercantile"
"3398","mercantile","udp","Mercantile"
"3399","csms","tcp","CSMS"
"3399","csms","udp","CSMS"
"3400","csms2","tcp","CSMS2"
"3400","csms2","udp","CSMS2"
"3401","filecast","tcp","filecast"
"3401","filecast","udp","filecast"
"3402","fxaengine-net","tcp","FXa Engine Network Port"
"3402","fxaengine-net","udp","FXa Engine Network Port"
"3403","","","De-registered"
"3404","","","Removed"
"3405","nokia-ann-ch1","tcp","Nokia Announcement ch 1"
"3405","nokia-ann-ch1","udp","Nokia Announcement ch 1"
"3406","nokia-ann-ch2","tcp","Nokia Announcement ch 2"
"3406","nokia-ann-ch2","udp","Nokia Announcement ch 2"
"3407","ldap-admin","tcp","LDAP admin server port"
"3407","ldap-admin","udp","LDAP admin server port"
"3408","BESApi","tcp","BES Api Port"
"3408","BESApi","udp","BES Api Port"
"3409","networklens","tcp","NetworkLens Event Port"
"3409","networklens","udp","NetworkLens Event Port"
"3410","networklenss","tcp","NetworkLens SSL Event"
"3410","networklenss","udp","NetworkLens SSL Event"
"3411","biolink-auth","tcp","BioLink Authenteon server"
"3411","biolink-auth","udp","BioLink Authenteon server"
"3412","xmlblaster","tcp","xmlBlaster"
"3412","xmlblaster","udp","xmlBlaster"
"3413","svnet","tcp","SpecView Networking"
"3413","svnet","udp","SpecView Networking"
"3414","wip-port","tcp","BroadCloud WIP Port"
"3414","wip-port","udp","BroadCloud WIP Port"
"3415","bcinameservice","tcp","BCI Name Service"
"3415","bcinameservice","udp","BCI Name Service"
"3416","commandport","tcp","AirMobile IS Command Port"
"3416","commandport","udp","AirMobile IS Command Port"
"3417","csvr","tcp","ConServR file translation"
"3417","csvr","udp","ConServR file translation"
"3418","rnmap","tcp","Remote nmap"
"3418","rnmap","udp","Remote nmap"
"3419","softaudit","tcp","Isogon SoftAudit"
"3419","softaudit","udp","ISogon SoftAudit"
"3420","ifcp-port","tcp","iFCP User Port"
"3420","ifcp-port","udp","iFCP User Port"
"3421","bmap","tcp","Bull Apprise portmapper"
"3421","bmap","udp","Bull Apprise portmapper"
"3422","rusb-sys-port","tcp","Remote USB System Port"
"3422","rusb-sys-port","udp","Remote USB System Port"
"3423","xtrm","tcp","xTrade Reliable Messaging"
"3423","xtrm","udp","xTrade Reliable Messaging"
"3424","xtrms","tcp","xTrade over TLS/SSL"
"3424","xtrms","udp","xTrade over TLS/SSL"
"3425","agps-port","tcp","AGPS Access Port"
"3425","agps-port","udp","AGPS Access Port"
"3426","arkivio","tcp","Arkivio Storage Protocol"
"3426","arkivio","udp","Arkivio Storage Protocol"
"3427","websphere-snmp","tcp","WebSphere SNMP"
"3427","websphere-snmp","udp","WebSphere SNMP"
"3428","twcss","tcp","2Wire CSS"
"3428","twcss","udp","2Wire CSS"
"3429","gcsp","tcp","GCSP user port"
"3429","gcsp","udp","GCSP user port"
"3430","ssdispatch","tcp","Scott Studios Dispatch"
"3430","ssdispatch","udp","Scott Studios Dispatch"
"3431","ndl-als","tcp","Active License Server Port"
"3431","ndl-als","udp","Active License Server Port"
"3432","osdcp","tcp","Secure Device Protocol"
"3432","osdcp","udp","Secure Device Protocol"
"3433","opnet-smp","tcp","OPNET Service Management Platform"
"3433","opnet-smp","udp","OPNET Service Management Platform"
"3434","opencm","tcp","OpenCM Server"
"3434","opencm","udp","OpenCM Server"
"3435","pacom","tcp","Pacom Security User Port"
"3435","pacom","udp","Pacom Security User Port"
"3436","gc-config","tcp","GuardControl Exchange Protocol"
"3436","gc-config","udp","GuardControl Exchange Protocol"
"3437","autocueds","tcp","Autocue Directory Service"
"3437","autocueds","udp","Autocue Directory Service"
"3438","spiral-admin","tcp","Spiralcraft Admin"
"3438","spiral-admin","udp","Spiralcraft Admin"
"3439","hri-port","tcp","HRI Interface Port"
"3439","hri-port","udp","HRI Interface Port"
"3440","ans-console","tcp","Net Steward Mgmt Console"
"3440","ans-console","udp","Net Steward Mgmt Console"
"3441","connect-client","tcp","OC Connect Client"
"3441","connect-client","udp","OC Connect Client"
"3442","connect-server","tcp","OC Connect Server"
"3442","connect-server","udp","OC Connect Server"
"3443","ov-nnm-websrv","tcp","OpenView Network Node Manager WEB Server"
"3443","ov-nnm-websrv","udp","OpenView Network Node Manager WEB Server"
"3444","denali-server","tcp","Denali Server"
"3444","denali-server","udp","Denali Server"
"3445","monp","tcp","Media Object Network"
"3445","monp","udp","Media Object Network"
"3446","3comfaxrpc","tcp","3Com FAX RPC port"
"3446","3comfaxrpc","udp","3Com FAX RPC port"
"3447","directnet","tcp","DirectNet IM System"
"3447","directnet","udp","DirectNet IM System"
"3448","dnc-port","tcp","Discovery and Net Config"
"3448","dnc-port","udp","Discovery and Net Config"
"3449","hotu-chat","tcp","HotU Chat"
"3449","hotu-chat","udp","HotU Chat"
"3450","castorproxy","tcp","CAStorProxy"
"3450","castorproxy","udp","CAStorProxy"
"3451","asam","tcp","ASAM Services"
"3451","asam","udp","ASAM Services"
"3452","sabp-signal","tcp","SABP-Signalling Protocol"
"3452","sabp-signal","udp","SABP-Signalling Protocol"
"3453","pscupd","tcp","PSC Update"
"3453","pscupd","udp","PSC Update"
"3454","mira","tcp","Apple Remote Access Protocol"
"3454","mira","udp","Apple Remote Access Protocol"
"3455","prsvp","tcp","RSVP Port"
"3455","prsvp","udp","RSVP Port"
"3456","vat","tcp","VAT default data"
"3456","vat","udp","VAT default data"
"3457","vat-control","tcp","VAT default control"
"3457","vat-control","udp","VAT default control"
"3458","d3winosfi","tcp","D3WinOSFI"
"3458","d3winosfi","udp","D3WinOSFI"
"3459","integral","tcp","TIP Integral"
"3459","integral","udp","TIP Integral"
"3460","edm-manager","tcp","EDM Manger"
"3460","edm-manager","udp","EDM Manger"
"3461","edm-stager","tcp","EDM Stager"
"3461","edm-stager","udp","EDM Stager"
"3462","edm-std-notify","tcp","EDM STD Notify"
"3462","edm-std-notify","udp","EDM STD Notify"
"3463","edm-adm-notify","tcp","EDM ADM Notify"
"3463","edm-adm-notify","udp","EDM ADM Notify"
"3464","edm-mgr-sync","tcp","EDM MGR Sync"
"3464","edm-mgr-sync","udp","EDM MGR Sync"
"3465","edm-mgr-cntrl","tcp","EDM MGR Cntrl"
"3465","edm-mgr-cntrl","udp","EDM MGR Cntrl"
"3466","workflow","tcp","WORKFLOW"
"3466","workflow","udp","WORKFLOW"
"3467","rcst","tcp","RCST"
"3467","rcst","udp","RCST"
"3468","ttcmremotectrl","tcp","TTCM Remote Controll"
"3468","ttcmremotectrl","udp","TTCM Remote Controll"
"3469","pluribus","tcp","Pluribus"
"3469","pluribus","udp","Pluribus"
"3470","jt400","tcp","jt400"
"3470","jt400","udp","jt400"
"3471","jt400-ssl","tcp","jt400-ssl"
"3471","jt400-ssl","udp","jt400-ssl"
"3472","jaugsremotec-1","tcp","JAUGS N-G Remotec 1"
"3472","jaugsremotec-1","udp","JAUGS N-G Remotec 1"
"3473","jaugsremotec-2","tcp","JAUGS N-G Remotec 2"
"3473","jaugsremotec-2","udp","JAUGS N-G Remotec 2"
"3474","ttntspauto","tcp","TSP Automation"
"3474","ttntspauto","udp","TSP Automation"
"3475","genisar-port","tcp","Genisar Comm Port"
"3475","genisar-port","udp","Genisar Comm Port"
"3476","nppmp","tcp","NVIDIA Mgmt Protocol"
"3476","nppmp","udp","NVIDIA Mgmt Protocol"
"3477","ecomm","tcp","eComm link port"
"3477","ecomm","udp","eComm link port"
"3478","stun","tcp","Session Traversal Utilities for NAT (STUN) port"
"3478","stun","udp","Session Traversal Utilities for NAT (STUN) port"
"3478","turn","tcp","TURN over TCP"
"3478","turn","udp","TURN over UDP"
"3478","stun-behavior","tcp","STUN Behavior Discovery over TCP"
"3478","stun-behavior","udp","STUN Behavior Discovery over UDP"
"3479","twrpc","tcp","2Wire RPC"
"3479","twrpc","udp","2Wire RPC"
"3480","plethora","tcp","Secure Virtual Workspace"
"3480","plethora","udp","Secure Virtual Workspace"
"3481","cleanerliverc","tcp","CleanerLive remote ctrl"
"3481","cleanerliverc","udp","CleanerLive remote ctrl"
"3482","vulture","tcp","Vulture Monitoring System"
"3482","vulture","udp","Vulture Monitoring System"
"3483","slim-devices","tcp","Slim Devices Protocol"
"3483","slim-devices","udp","Slim Devices Protocol"
"3484","gbs-stp","tcp","GBS SnapTalk Protocol"
"3484","gbs-stp","udp","GBS SnapTalk Protocol"
"3485","celatalk","tcp","CelaTalk"
"3485","celatalk","udp","CelaTalk"
"3486","ifsf-hb-port","tcp","IFSF Heartbeat Port"
"3486","ifsf-hb-port","udp","IFSF Heartbeat Port"
"3487","ltctcp","tcp","LISA TCP Transfer Channel"
"3487","ltcudp","udp","LISA UDP Transfer Channel"
"3488","fs-rh-srv","tcp","FS Remote Host Server"
"3488","fs-rh-srv","udp","FS Remote Host Server"
"3489","dtp-dia","tcp","DTP/DIA"
"3489","dtp-dia","udp","DTP/DIA"
"3490","colubris","tcp","Colubris Management Port"
"3490","colubris","udp","Colubris Management Port"
"3491","swr-port","tcp","SWR Port"
"3491","swr-port","udp","SWR Port"
"3492","tvdumtray-port","tcp","TVDUM Tray Port"
"3492","tvdumtray-port","udp","TVDUM Tray Port"
"3493","nut","tcp","Network UPS Tools"
"3493","nut","udp","Network UPS Tools"
"3494","ibm3494","tcp","IBM 3494"
"3494","ibm3494","udp","IBM 3494"
"3495","seclayer-tcp","tcp","securitylayer over tcp"
"3495","seclayer-tcp","udp","securitylayer over tcp"
"3496","seclayer-tls","tcp","securitylayer over tls"
"3496","seclayer-tls","udp","securitylayer over tls"
"3497","ipether232port","tcp","ipEther232Port"
"3497","ipether232port","udp","ipEther232Port"
"3498","dashpas-port","tcp","DASHPAS user port"
"3498","dashpas-port","udp","DASHPAS user port"
"3499","sccip-media","tcp","SccIP Media"
"3499","sccip-media","udp","SccIP Media"
"3500","rtmp-port","tcp","RTMP Port"
"3500","rtmp-port","udp","RTMP Port"
"3501","isoft-p2p","tcp","iSoft-P2P"
"3501","isoft-p2p","udp","iSoft-P2P"
"3502","avinstalldisc","tcp","Avocent Install Discovery"
"3502","avinstalldisc","udp","Avocent Install Discovery"
"3503","lsp-ping","tcp","MPLS LSP-echo Port"
"3503","lsp-ping","udp","MPLS LSP-echo Port"
"3504","ironstorm","tcp","IronStorm game server"
"3504","ironstorm","udp","IronStorm game server"
"3505","ccmcomm","tcp","CCM communications port"
"3505","ccmcomm","udp","CCM communications port"
"3506","apc-3506","tcp","APC 3506"
"3506","apc-3506","udp","APC 3506"
"3507","nesh-broker","tcp","Nesh Broker Port"
"3507","nesh-broker","udp","Nesh Broker Port"
"3508","interactionweb","tcp","Interaction Web"
"3508","interactionweb","udp","Interaction Web"
"3509","vt-ssl","tcp","Virtual Token SSL Port"
"3509","vt-ssl","udp","Virtual Token SSL Port"
"3510","xss-port","tcp","XSS Port"
"3510","xss-port","udp","XSS Port"
"3511","webmail-2","tcp","WebMail/2"
"3511","webmail-2","udp","WebMail/2"
"3512","aztec","tcp","Aztec Distribution Port"
"3512","aztec","udp","Aztec Distribution Port"
"3513","arcpd","tcp","Adaptec Remote Protocol"
"3513","arcpd","udp","Adaptec Remote Protocol"
"3514","must-p2p","tcp","MUST Peer to Peer"
"3514","must-p2p","udp","MUST Peer to Peer"
"3515","must-backplane","tcp","MUST Backplane"
"3515","must-backplane","udp","MUST Backplane"
"3516","smartcard-port","tcp","Smartcard Port"
